age,is_male,race,ownes_house,employment_status,employment_income,non_employment_income,treatment,expenditure
18,1,Black,0,0,0.0,10000.0,0,11767.25
38,0,White,0,1,113277.2,0.0,0,88871.92
18,0,White,1,0,0.0,0.0,0,2334.56
19,0,Black,0,0,0.0,12000.0,1,10503.86
18,0,White,0,0,0.0,12000.0,1,10419.92
18,1,White,0,1,63761.7,0.0,0,50816.5
23,1,Hispanic,1,1,73489.7,12000.0,0,58167.34
18,0,Black,0,1,58525.4,10000.0,0,44117.16
27,1,Hispanic,0,1,88175.7,0.0,0,71228.23
18,0,Hispanic,0,1,57444.4,5000.0,0,44932.7
18,1,White,1,1,69783.5,0.0,0,58059.11
37,1,White,0,1,110962.7,12000.0,1,90243.44
48,0,White,1,1,137014.7,12000.0,0,114018.83
37,0,White,0,1,109639.5,0.0,0,81316.44
43,0,White,0,1,124776.6,0.0,1,90422.01
18,1,White,0,1,73284.1,0.0,1,63911.09
18,0,White,0,0,0.0,10000.0,0,8379.4
18,1,Asian,0,1,65394.4,0.0,0,53397.86
18,0,Asian,1,0,0.0,12000.0,1,11652.23
22,1,White,0,0,0.0,0.0,0,2354.58
18,0,White,0,0,0.0,5000.0,1,7148.68
34,0,White,0,1,95355.1,0.0,0,69315.85
70,1,Asian,0,1,190772.4,0.0,0,153294.5
35,0,White,1,1,110137.8,0.0,0,73411.72
37,1,White,0,1,110127.5,10000.0,0,83641.35
26,1,Asian,0,1,89004.5,0.0,0,74511.54
21,1,Black,0,0,0.0,1000.0,0,3437.1
24,1,White,0,1,82577.9,10000.0,0,71880.57
55,1,Hispanic,0,1,159740.2,12000.0,0,128849.81
18,1,White,0,0,0.0,12000.0,0,9378.46
46,1,White,0,1,136302.2,10000.0,0,101326.84
18,0,White,1,0,0.0,0.0,0,2480.71
35,0,Hispanic,0,1,104619.5,10000.0,0,80673.62
18,1,Hispanic,0,0,0.0,12000.0,0,11215.38
39,1,White,0,1,116041.7,10000.0,0,100377.08
18,0,White,0,0,0.0,12000.0,0,12164.29
24,0,Other,0,0,0.0,0.0,0,2249.38
18,1,White,0,0,0.0,0.0,1,2580.48
18,0,White,0,1,66616.0,10000.0,0,53503.3
68,0,White,0,0,0.0,10000.0,0,13571.62
38,1,Other,1,1,119480.0,0.0,0,92642.72
50,1,Hispanic,0,1,147932.5,5000.0,0,121781.74
65,0,Black,0,1,184069.6,0.0,0,149081.12
18,1,White,0,0,0.0,0.0,0,2548.06
25,0,White,0,0,0.0,0.0,0,2895.03
63,1,White,0,1,179194.3,10000.0,0,153436.75
42,1,Asian,0,1,127448.7,0.0,0,95500.65
18,1,Asian,0,1,70166.7,0.0,1,50465.97
21,1,Other,1,0,0.0,1000.0,1,4085.62
66,1,White,0,1,191789.5,0.0,0,143504.28
18,0,White,0,0,0.0,12000.0,0,11810.66
18,0,Black,1,1,64264.1,0.0,0,44762.85
27,1,Hispanic,0,1,88307.0,10000.0,0,81925.0
37,0,White,0,1,110516.8,10000.0,0,86811.06
18,0,White,1,1,67369.4,0.0,0,56364.02
53,0,White,0,1,158600.3,0.0,0,121103.08
33,1,Asian,1,0,0.0,12000.0,1,12117.27
18,0,White,1,0,0.0,0.0,0,2705.12
18,1,Black,0,0,0.0,1000.0,0,3374.1
18,1,White,0,0,0.0,12000.0,0,13276.44
18,1,Black,1,0,0.0,0.0,1,2863.02
52,0,White,0,1,204600.1,1000.0,0,142376.1
18,1,White,0,0,0.0,0.0,0,2449.9
23,1,White,1,1,73819.2,10000.0,0,58802.33
29,0,Black,0,1,92994.7,10000.0,1,79448.64
28,0,Asian,0,0,0.0,0.0,0,2220.69
20,1,White,1,1,67432.2,12000.0,0,57176.82
20,1,Asian,0,1,63729.3,12000.0,0,54885.58
70,1,Hispanic,0,1,189983.6,0.0,0,155670.56
22,0,White,0,0,0.0,10000.0,1,12817.04
62,0,Hispanic,1,1,173354.9,0.0,0,143591.17
18,0,White,1,0,0.0,0.0,0,2687.19
18,1,White,0,1,63986.5,10000.0,0,47439.5
18,0,White,0,1,66268.7,10000.0,0,52762.82
46,0,Black,1,1,137841.2,12000.0,0,120012.44
32,0,White,0,0,0.0,0.0,0,2298.79
18,0,Black,1,0,0.0,0.0,0,2415.59
36,0,White,1,1,104061.1,12000.0,1,95309.27
68,1,White,0,1,250246.9,1000.0,0,201338.34
70,1,Black,0,1,201977.9,5000.0,0,162373.82
18,1,White,1,1,61919.0,10000.0,1,52695.39
18,1,White,1,0,0.0,10000.0,0,12930.53
18,1,Asian,1,0,0.0,10000.0,0,5797.56
24,0,Black,0,1,71582.9,5000.0,1,53832.52
18,0,White,0,1,62112.7,0.0,0,45889.34
31,0,Black,0,1,100668.5,5000.0,0,71688.96
63,0,Other,1,1,180260.9,0.0,0,143659.77
23,1,Hispanic,0,0,0.0,12000.0,0,12045.72
70,1,White,0,1,195873.9,0.0,0,169202.12
59,1,Hispanic,0,1,167034.7,0.0,1,108157.28
18,0,White,0,1,61501.7,10000.0,0,53561.34
21,0,Other,1,0,0.0,0.0,1,2899.9
18,1,White,0,0,0.0,0.0,0,2728.8
18,0,Hispanic,1,0,0.0,10000.0,0,12541.65
33,0,Asian,0,1,106234.9,12000.0,0,93289.51
25,0,White,0,1,76307.1,0.0,0,65454.36
58,0,White,0,1,157360.3,12000.0,0,134294.36
43,1,White,0,1,126158.5,0.0,0,91056.43
34,0,White,0,0,0.0,1000.0,0,3336.25
18,1,White,1,0,0.0,0.0,0,2520.63
18,1,Asian,1,0,0.0,12000.0,1,11060.05
70,1,Black,0,1,194975.5,12000.0,0,151694.24
18,1,Hispanic,1,0,0.0,12000.0,0,10806.88
21,1,White,1,0,0.0,0.0,0,2181.02
20,0,White,1,1,74201.4,5000.0,0,56435.77
20,0,White,0,1,70344.0,12000.0,1,63873.7
18,1,Black,1,1,69188.4,12000.0,0,56313.75
18,1,Hispanic,0,1,62534.6,0.0,0,52584.16
18,1,Asian,1,0,0.0,0.0,0,2408.85
50,1,White,0,0,0.0,0.0,0,2191.95
18,0,White,1,0,0.0,0.0,1,3304.74
31,0,White,0,1,96716.4,12000.0,0,83562.67
61,1,White,0,1,174672.1,10000.0,0,134658.45
52,1,Asian,1,0,0.0,10000.0,0,10054.59
56,1,White,0,1,225877.9,10000.0,0,188417.66
18,1,Hispanic,0,0,0.0,0.0,0,2629.0
34,0,White,1,0,0.0,0.0,0,2320.55
18,0,White,0,0,0.0,0.0,0,2658.59
24,0,White,0,0,0.0,10000.0,0,13364.5
50,1,White,0,1,147844.8,10000.0,0,110558.41
18,0,Black,0,1,63285.5,10000.0,0,55279.04
67,0,Asian,1,1,184367.0,12000.0,0,149050.0
20,1,Hispanic,0,1,75755.6,10000.0,1,65236.48
18,1,Black,0,0,0.0,0.0,0,2098.53
32,1,Black,0,0,0.0,0.0,0,2698.08
18,1,White,0,1,65233.5,0.0,0,56079.58
40,0,Asian,0,1,121827.5,10000.0,1,86340.21
26,0,White,0,1,88954.6,10000.0,0,68745.4
69,1,White,0,1,205273.6,12000.0,0,141308.11
18,1,White,0,0,0.0,0.0,1,3283.41
45,1,White,0,1,136287.0,0.0,0,120800.94
44,0,White,0,1,127104.1,1000.0,1,88895.16
24,1,White,0,0,0.0,0.0,0,2940.42
31,0,White,0,1,91962.3,12000.0,1,79980.39
38,0,Hispanic,0,1,108658.3,10000.0,1,113725.32
18,1,White,0,1,70203.7,0.0,0,53575.21
18,1,Hispanic,0,0,0.0,1000.0,1,3858.48
18,0,White,0,0,0.0,0.0,0,2386.74
18,1,White,0,1,69268.4,0.0,0,61891.33
18,1,Hispanic,0,0,0.0,12000.0,0,11441.97
24,0,White,1,1,70834.1,0.0,0,61943.41
18,1,Black,1,0,0.0,0.0,0,2510.78
22,1,Asian,1,1,67302.1,0.0,0,53276.29
28,1,White,0,0,0.0,10000.0,0,11273.74
51,0,Hispanic,1,1,143773.7,0.0,0,109605.33
61,0,Other,0,1,168882.1,1000.0,0,136803.32
18,0,Hispanic,0,1,69541.4,10000.0,0,56984.26
34,0,Other,0,0,0.0,12000.0,0,12334.44
18,1,White,1,0,0.0,0.0,1,2807.84
18,0,White,0,1,71147.9,0.0,1,65066.89
36,0,Black,1,0,0.0,12000.0,1,12811.79
70,1,Hispanic,1,1,194568.0,0.0,0,160648.18
18,1,Asian,0,0,0.0,0.0,0,2548.51
18,1,White,0,1,68640.8,0.0,0,63150.4
34,1,Asian,0,1,103000.0,0.0,0,92042.86
18,1,White,0,1,67199.8,0.0,1,50757.73
18,0,Black,1,1,64929.7,0.0,0,49641.39
18,1,Other,0,0,0.0,10000.0,0,13057.36
18,1,White,0,0,0.0,0.0,0,2641.02
39,1,White,0,1,112286.4,10000.0,0,81539.42
18,0,Other,0,0,0.0,12000.0,1,11911.26
18,0,White,0,1,62420.7,1000.0,0,49449.9
18,1,Hispanic,0,1,62362.8,12000.0,0,53767.19
54,0,White,0,0,0.0,10000.0,0,8168.23
18,1,Hispanic,0,0,0.0,10000.0,0,9440.13
18,1,White,0,1,67020.2,12000.0,0,50753.41
19,1,Black,0,0,0.0,0.0,1,2800.1
42,1,Other,1,1,120422.5,10000.0,0,100445.06
18,1,White,1,1,67924.3,0.0,0,54610.29
68,1,White,0,1,190581.2,12000.0,0,142409.37
18,0,Asian,0,0,0.0,10000.0,0,14003.52
26,0,Other,0,1,78364.4,12000.0,0,69313.32
42,1,White,0,1,125423.5,0.0,0,89945.55
41,0,Hispanic,0,0,0.0,0.0,0,2511.54
39,1,White,0,1,118606.6,0.0,1,76189.25
43,1,White,0,1,121091.6,12000.0,0,90493.39
22,1,White,0,1,73800.0,12000.0,0,59912.7
28,1,White,0,1,88426.9,12000.0,0,74601.16
18,1,White,0,0,0.0,0.0,0,2379.82
21,1,Asian,0,1,75440.7,0.0,0,61231.34
18,1,Black,0,0,0.0,0.0,0,2564.05
55,0,Hispanic,0,1,159342.5,0.0,0,142965.55
32,1,White,0,0,0.0,10000.0,0,11653.68
26,0,White,0,1,88053.0,0.0,1,68391.66
27,1,White,1,1,87477.7,0.0,0,70246.29
18,0,Black,0,0,0.0,1000.0,0,3012.36
31,0,Hispanic,0,1,95215.8,10000.0,0,75961.56
18,1,Black,0,1,63213.6,12000.0,0,52919.35
18,1,White,1,1,66237.3,0.0,0,45263.81
18,1,White,0,0,0.0,0.0,0,2627.08
48,0,White,0,1,135127.8,0.0,0,104087.14
33,0,Black,0,1,94497.2,10000.0,0,76648.08
40,0,Asian,0,1,112096.8,10000.0,1,87769.59
19,1,White,0,0,0.0,0.0,0,2554.79
25,1,Hispanic,1,0,0.0,5000.0,0,6351.0
40,1,Black,1,1,115183.9,5000.0,1,110045.65
45,1,Hispanic,1,0,0.0,0.0,0,2184.9
60,1,White,1,1,159496.9,0.0,0,128594.88
23,0,Hispanic,0,0,0.0,10000.0,1,10113.06
27,1,Black,0,1,94754.2,0.0,0,70548.8
18,0,Asian,0,1,57744.8,0.0,0,46494.97
18,1,White,1,1,66827.8,0.0,0,52391.12
18,0,White,0,0,0.0,10000.0,0,10057.98
18,1,White,1,0,0.0,10000.0,0,11286.08
32,0,Asian,0,1,95559.1,10000.0,0,75786.5
18,1,Asian,0,0,0.0,10000.0,0,10568.26
18,0,White,1,1,59505.1,10000.0,1,53307.33
33,1,Asian,0,1,102296.2,0.0,0,86427.29
53,0,Hispanic,0,1,152051.8,12000.0,0,121282.37
18,1,Hispanic,0,0,0.0,0.0,0,2664.38
18,1,White,0,1,64736.5,1000.0,0,45399.21
