age,is_male,race,ownes_house,employment_status,employment_income,non_employment_income
18,1,Hispanic,0,0,0.0,0.0
47,1,White,1,1,126183.9,0.0
22,1,White,0,0,0.0,12000.0
21,1,White,0,1,69729.1,0.0
50,1,White,0,0,0.0,12000.0
51,0,Asian,0,1,139150.5,0.0
53,1,Hispanic,1,1,148150.7,0.0
18,1,White,0,1,64014.1,1000.0
18,0,Black,0,0,0.0,12000.0
37,0,White,1,1,108263.4,0.0
30,0,Hispanic,0,0,0.0,9000.0
26,0,White,0,1,83798.5,9000.0
18,0,White,1,0,0.0,12000.0
46,1,White,0,0,0.0,9000.0
35,1,White,1,1,100975.6,0.0
18,0,White,0,0,0.0,9000.0
70,1,White,0,1,184690.7,9000.0
52,0,Black,0,1,133265.6,9000.0
18,0,Black,1,1,59298.7,1000.0
34,0,Black,0,0,0.0,0.0
41,0,White,0,1,110735.0,0.0
70,1,Black,0,1,192001.7,12000.0
18,1,Black,1,1,64867.7,9000.0
26,0,Asian,0,0,0.0,9000.0
30,1,Hispanic,0,1,87856.6,0.0
18,1,White,0,0,0.0,12000.0
34,0,Asian,0,0,0.0,0.0
18,0,Hispanic,1,1,64582.9,0.0
18,1,White,1,0,0.0,0.0
70,0,Hispanic,1,1,188757.6,0.0
42,0,Hispanic,1,1,118513.8,12000.0
18,1,Hispanic,0,0,0.0,9000.0
43,0,Black,1,1,115161.2,5000.0
56,0,Black,0,1,149654.9,9000.0
18,1,Other,0,1,62621.2,0.0
23,0,Black,0,0,0.0,9000.0
18,1,White,0,0,0.0,12000.0
28,1,White,0,1,72175.3,9000.0
18,1,Black,1,1,71935.7,12000.0
18,1,Other,0,0,0.0,0.0
32,0,White,0,1,92540.6,0.0
27,0,Black,1,0,0.0,0.0
31,1,Black,0,0,0.0,0.0
18,0,White,0,0,0.0,0.0
24,1,Black,0,1,74827.4,0.0
25,1,Black,0,1,77393.2,0.0
37,0,Asian,0,1,107874.4,0.0
18,1,Asian,1,0,0.0,0.0
18,1,Other,0,0,0.0,0.0
18,0,White,1,1,57159.3,12000.0
49,1,Black,0,1,139335.3,0.0
28,1,Hispanic,1,1,81704.9,0.0
18,1,White,0,0,0.0,0.0
41,0,Hispanic,0,0,0.0,0.0
52,0,White,0,0,0.0,9000.0
57,1,Black,0,1,160579.3,0.0
35,1,White,0,1,105648.7,0.0
45,1,Asian,0,0,0.0,0.0
37,1,White,1,1,102719.9,0.0
20,0,White,0,0,0.0,9000.0
18,1,White,0,1,61607.3,0.0
18,1,Asian,0,0,0.0,0.0
54,1,Hispanic,0,1,146584.7,9000.0
23,1,White,0,1,74782.6,1000.0
25,0,Hispanic,1,1,75516.3,12000.0
18,0,Black,0,0,0.0,12000.0
38,0,Black,0,0,0.0,9000.0
63,1,Hispanic,0,1,180607.5,0.0
27,0,Black,0,0,0.0,0.0
18,1,Other,0,0,0.0,12000.0
18,1,Hispanic,0,1,60100.9,0.0
70,0,Hispanic,0,1,189530.4,0.0
18,0,Hispanic,1,0,0.0,0.0
18,1,Asian,0,0,0.0,0.0
62,0,White,0,1,169384.9,0.0
18,1,Asian,0,0,0.0,0.0
22,0,Hispanic,0,1,80926.4,9000.0
18,0,White,1,0,0.0,0.0
18,0,Asian,1,1,59854.6,9000.0
25,1,Black,0,1,82951.7,0.0
18,0,White,1,0,0.0,0.0
18,1,Asian,0,0,0.0,0.0
37,1,White,0,1,113084.3,9000.0
19,1,Asian,1,0,0.0,12000.0
27,0,Hispanic,0,1,84336.2,0.0
18,1,White,1,1,61833.3,0.0
20,1,White,1,1,64997.0,9000.0
35,1,White,0,1,103007.4,0.0
61,0,Black,0,1,164921.5,0.0
28,0,White,0,1,89034.9,9000.0
70,1,White,1,1,183643.2,12000.0
55,0,Black,1,1,147835.9,0.0
22,1,White,0,1,71560.8,0.0
43,1,Other,0,1,121747.3,0.0
18,1,White,0,1,58249.8,0.0
63,1,White,1,1,169838.2,0.0
18,0,Asian,1,1,65847.2,12000.0
44,1,Black,0,1,177321.7,0.0
18,1,Asian,0,0,0.0,0.0
47,0,White,1,0,0.0,9000.0
55,1,White,0,0,0.0,0.0
18,1,Asian,0,0,0.0,9000.0
67,0,Asian,0,1,172898.3,12000.0
25,0,White,0,1,80546.9,0.0
18,1,White,1,1,56311.8,0.0
38,0,Asian,1,1,108431.3,0.0
18,1,Hispanic,0,0,0.0,12000.0
44,1,Asian,0,1,123868.0,9000.0
70,1,Black,0,0,0.0,12000.0
18,0,Asian,0,0,0.0,9000.0
48,1,Black,0,1,129027.6,12000.0
54,0,Black,0,0,0.0,9000.0
25,1,Hispanic,0,1,80126.4,0.0
37,1,Asian,0,1,111719.7,0.0
18,0,Black,0,0,0.0,5000.0
36,1,Black,0,1,105783.1,12000.0
32,1,Hispanic,0,0,0.0,9000.0
18,1,Black,0,0,0.0,12000.0
18,1,Hispanic,1,0,0.0,9000.0
18,0,White,0,0,0.0,9000.0
18,0,Other,0,1,57045.9,0.0
70,1,Asian,1,1,191020.1,5000.0
18,0,White,0,1,55233.6,12000.0
18,1,Black,0,0,0.0,12000.0
18,0,White,0,0,0.0,12000.0
18,1,Black,0,1,62441.2,9000.0
18,1,Asian,0,1,66381.4,0.0
27,1,Other,1,0,0.0,0.0
70,0,White,0,1,189910.4,0.0
26,0,Black,0,1,83310.0,0.0
22,0,White,1,0,0.0,0.0
29,1,Hispanic,0,1,82561.0,12000.0
47,1,White,0,1,134366.2,9000.0
18,1,White,0,1,58542.4,0.0
18,1,White,0,0,0.0,0.0
22,1,Black,0,1,74200.7,0.0
18,0,White,0,0,0.0,12000.0
18,0,Asian,1,0,0.0,12000.0
64,1,Asian,0,1,171429.5,9000.0
30,0,White,0,0,0.0,0.0
21,1,Asian,0,0,0.0,12000.0
27,0,White,0,1,77692.1,12000.0
22,0,White,1,0,0.0,5000.0
18,0,Hispanic,0,1,61173.9,12000.0
66,0,Asian,0,1,174181.0,5000.0
18,1,White,0,1,59399.1,9000.0
70,0,Hispanic,0,1,184419.9,12000.0
18,0,Black,0,1,57494.5,0.0
18,0,Black,0,0,0.0,0.0
19,1,Black,0,0,0.0,12000.0
18,0,Hispanic,0,1,62900.9,0.0
70,0,Other,0,1,191757.1,1000.0
18,1,Hispanic,0,1,62917.9,0.0
70,0,Black,0,0,0.0,12000.0
18,0,White,1,1,64055.3,12000.0
18,1,Asian,1,0,0.0,0.0
20,0,Asian,0,1,71321.0,12000.0
32,1,Hispanic,1,0,0.0,12000.0
18,0,White,0,1,63927.5,0.0
26,0,White,0,1,81154.2,9000.0
38,1,Asian,0,1,105749.1,0.0
18,1,Black,1,1,64274.4,0.0
18,1,White,0,0,0.0,0.0
21,1,White,0,1,74232.9,9000.0
18,0,White,0,0,0.0,9000.0
18,1,White,0,0,0.0,1000.0
18,1,Hispanic,0,0,0.0,9000.0
18,1,Hispanic,0,1,65511.7,5000.0
57,0,Black,0,1,155703.0,0.0
18,0,Asian,1,1,60966.4,0.0
70,1,White,0,1,242269.9,12000.0
70,1,White,0,1,187252.7,1000.0
51,1,Black,0,1,138428.6,5000.0
18,1,Black,0,0,0.0,9000.0
35,1,Hispanic,0,0,0.0,0.0
24,1,Asian,0,1,77379.7,12000.0
27,1,Hispanic,0,1,83641.0,0.0
19,1,White,0,1,60153.6,9000.0
26,0,White,1,1,78563.7,0.0
22,0,White,0,1,68388.0,0.0
18,0,Asian,0,1,57232.5,0.0
70,1,Black,0,1,182105.8,0.0
18,0,White,1,0,0.0,0.0
18,0,White,0,1,60650.8,0.0
30,0,Hispanic,0,1,84345.9,1000.0
18,0,Black,0,0,0.0,0.0
24,1,White,0,0,0.0,9000.0
33,1,White,0,1,94981.3,9000.0
24,1,Asian,0,1,72474.5,0.0
18,0,Black,0,1,60406.8,0.0
27,0,Hispanic,1,1,82044.6,0.0
18,0,Asian,0,0,0.0,9000.0
47,1,Black,0,1,132517.1,0.0
18,0,White,0,1,61988.2,9000.0
51,1,White,0,0,0.0,0.0
18,1,Black,0,1,62341.8,0.0
18,0,White,0,0,0.0,12000.0
40,1,Black,1,0,0.0,9000.0
70,0,Other,0,0,0.0,0.0
18,0,Hispanic,1,1,57626.5,9000.0
19,1,Black,1,1,53098.0,0.0
62,1,White,1,1,163399.7,0.0
19,0,White,1,0,0.0,5000.0
27,1,White,0,0,0.0,5000.0
18,0,Hispanic,0,1,62548.5,0.0
22,0,Black,1,1,71088.7,12000.0
49,0,Hispanic,1,1,137266.4,1000.0
18,0,Asian,0,1,61293.6,9000.0
33,0,White,0,1,101424.6,9000.0
18,0,Asian,0,0,0.0,0.0
21,0,White,0,0,0.0,0.0
37,0,Black,1,1,105346.6,0.0
18,0,White,0,0,0.0,0.0
40,0,White,0,1,112229.7,0.0
18,1,Other,0,0,0.0,0.0
70,0,Hispanic,0,1,181975.0,0.0
20,0,Black,0,1,66983.2,0.0
18,0,White,0,1,61869.6,12000.0
40,1,Other,0,1,114656.4,12000.0
48,1,Asian,0,1,138636.5,0.0
37,0,White,0,0,0.0,0.0
23,0,White,0,1,63574.4,0.0
23,1,White,0,0,0.0,0.0
18,1,Black,1,1,67448.1,5000.0
18,1,White,0,1,70549.0,0.0
22,0,Hispanic,0,0,0.0,12000.0
18,1,Black,0,0,0.0,0.0
45,1,White,1,1,125895.4,0.0
28,0,White,0,0,0.0,0.0
58,0,White,0,0,0.0,0.0
45,1,Hispanic,1,1,122169.4,0.0
46,0,White,0,1,126175.5,9000.0
18,1,White,1,0,0.0,0.0
70,1,White,0,1,188475.6,12000.0
50,0,Asian,1,0,0.0,0.0
18,1,White,1,1,57419.8,0.0
37,0,Asian,1,1,112890.8,12000.0
18,1,Hispanic,0,0,0.0,9000.0
45,0,Hispanic,0,0,0.0,0.0
18,0,White,0,1,64627.9,0.0
69,0,Asian,0,1,182314.0,12000.0
37,1,Hispanic,1,1,156040.5,12000.0
26,1,White,0,1,86262.0,12000.0
21,1,White,0,1,73284.5,0.0
18,0,Other,0,1,57603.5,12000.0
30,0,Hispanic,0,1,92988.9,0.0
18,1,Black,1,1,67340.6,12000.0
39,1,White,0,1,110066.9,9000.0
18,0,Hispanic,0,1,57234.2,0.0
21,1,White,0,0,0.0,0.0
20,1,Hispanic,1,1,64655.1,0.0
18,0,White,0,0,0.0,9000.0
61,1,Black,0,1,219209.8,0.0
36,1,Hispanic,0,1,104307.3,0.0
41,1,Black,0,1,116103.1,0.0
18,1,White,0,0,0.0,0.0
24,0,Hispanic,1,1,73689.4,0.0
21,0,White,0,1,65268.3,0.0
18,1,White,0,0,0.0,0.0
23,1,White,1,0,0.0,9000.0
24,1,White,0,0,0.0,12000.0
21,1,White,1,0,0.0,0.0
35,1,White,0,1,109567.0,0.0
34,1,Other,1,0,0.0,9000.0
18,0,Asian,0,0,0.0,0.0
18,1,Hispanic,1,1,64136.5,0.0
19,1,Other,0,1,70358.1,0.0
22,0,Asian,0,0,0.0,0.0
28,1,Asian,1,1,97179.3,0.0
18,0,White,0,0,0.0,0.0
35,1,Black,0,1,104710.2,0.0
18,1,Asian,0,1,59049.2,9000.0
29,0,Black,0,0,0.0,0.0
21,0,Asian,0,1,63037.6,9000.0
22,0,Asian,0,1,64379.9,0.0
22,1,White,0,1,73966.3,0.0
40,1,Black,0,1,113931.9,0.0
52,0,Hispanic,0,0,0.0,0.0
33,1,Black,0,0,0.0,0.0
20,0,Asian,0,0,0.0,0.0
26,0,Black,0,0,0.0,9000.0
18,0,White,0,1,67355.5,12000.0
39,1,Asian,0,1,116401.3,9000.0
70,0,Asian,0,0,0.0,1000.0
18,1,White,0,0,0.0,12000.0
18,0,Hispanic,0,0,0.0,0.0
30,1,White,0,1,99350.5,9000.0
20,0,Asian,0,0,0.0,0.0
26,0,Hispanic,0,1,81790.8,0.0
26,0,White,1,1,77324.4,0.0
21,1,Hispanic,1,1,66161.1,12000.0
18,1,Asian,1,1,64070.6,12000.0
40,1,Black,0,1,115497.4,1000.0
24,0,Asian,0,1,82826.8,0.0
18,1,Black,0,0,0.0,0.0
35,1,Black,1,0,0.0,0.0
28,0,White,0,0,0.0,0.0
19,0,Black,0,0,0.0,9000.0
33,1,White,0,0,0.0,9000.0
62,1,White,0,1,170364.3,0.0
39,1,Asian,0,0,0.0,0.0
18,0,Black,0,1,58305.2,12000.0
51,0,White,0,1,137888.4,12000.0
26,1,White,0,0,0.0,0.0
18,0,White,0,1,62135.8,12000.0
18,1,Hispanic,1,0,0.0,9000.0
22,1,Hispanic,0,0,0.0,12000.0
29,0,Black,0,0,0.0,0.0
24,1,Hispanic,0,1,77361.3,12000.0
24,1,White,0,0,0.0,0.0
18,0,White,1,1,54411.7,0.0
37,1,White,1,0,0.0,9000.0
18,1,Black,1,0,0.0,0.0
28,0,White,0,1,82106.4,12000.0
22,0,Hispanic,0,0,0.0,0.0
48,0,White,0,1,132927.1,1000.0
70,1,Asian,0,1,191635.7,0.0
18,1,Hispanic,0,0,0.0,9000.0
18,0,Black,0,0,0.0,0.0
27,0,Hispanic,1,0,0.0,0.0
18,1,Asian,0,1,60263.7,12000.0
18,0,Asian,0,0,0.0,0.0
59,0,Black,1,1,157519.6,9000.0
18,1,Asian,1,1,67578.4,0.0
18,1,Asian,1,0,0.0,12000.0
29,1,Black,0,1,92819.2,9000.0
18,0,Black,1,1,57033.5,1000.0
25,0,Asian,1,0,0.0,1000.0
45,0,Asian,0,1,124755.0,0.0
20,1,White,0,0,0.0,0.0
18,1,Black,1,1,63209.9,12000.0
47,1,White,0,1,125556.7,0.0
66,0,White,0,1,177524.4,0.0
18,0,White,0,0,0.0,12000.0
26,1,White,0,1,82968.2,0.0
29,1,Hispanic,0,0,0.0,9000.0
35,1,White,0,1,100360.4,12000.0
18,1,Asian,0,0,0.0,0.0
18,0,Asian,0,1,53782.2,5000.0
19,1,Black,0,0,0.0,1000.0
18,1,Other,0,0,0.0,0.0
29,0,Asian,0,0,0.0,5000.0
70,0,White,1,1,247751.8,9000.0
18,0,Black,0,1,62455.3,0.0
20,1,White,0,0,0.0,5000.0
19,1,White,0,1,62285.5,9000.0
18,1,White,1,0,0.0,0.0
18,1,White,0,0,0.0,5000.0
28,1,White,0,1,86426.5,9000.0
50,0,White,1,1,140214.4,0.0
52,1,White,1,1,144501.1,12000.0
36,0,White,0,1,102453.0,0.0
66,0,Hispanic,0,0,0.0,0.0
26,1,Black,0,0,0.0,12000.0
18,0,Hispanic,0,1,64978.9,0.0
18,1,Black,0,1,57778.3,12000.0
58,1,White,1,1,160139.0,12000.0
45,1,Hispanic,0,1,177401.5,0.0
25,1,Hispanic,0,1,75655.5,0.0
18,1,White,1,0,0.0,0.0
54,0,Black,0,1,147322.0,0.0
18,1,Hispanic,1,1,59884.0,0.0
18,0,Hispanic,1,0,0.0,12000.0
34,1,Asian,0,0,0.0,0.0
33,0,White,0,1,91078.9,5000.0
29,1,Hispanic,0,0,0.0,0.0
48,1,White,0,0,0.0,9000.0
49,1,White,0,1,135828.3,12000.0
18,1,White,1,0,0.0,0.0
23,0,Black,0,1,74070.8,12000.0
18,0,White,1,0,0.0,5000.0
18,1,White,1,1,58116.2,0.0
18,1,Black,0,0,0.0,1000.0
18,1,Hispanic,1,0,0.0,5000.0
18,0,Black,0,1,61425.8,9000.0
28,0,Black,0,1,84689.8,0.0
26,1,White,0,1,84704.9,0.0
18,1,Black,0,1,60454.0,0.0
33,1,Hispanic,1,1,96515.0,9000.0
18,0,White,0,1,60347.7,12000.0
42,0,White,0,1,122516.1,9000.0
28,1,Hispanic,0,1,92957.4,0.0
18,0,White,0,1,54972.6,9000.0
18,0,White,0,1,60426.5,0.0
42,1,White,0,1,116948.7,12000.0
29,0,Black,0,0,0.0,9000.0
19,0,Hispanic,1,0,0.0,0.0
22,1,Hispanic,0,1,68852.8,9000.0
29,0,White,1,1,88262.8,0.0
18,1,Asian,0,0,0.0,0.0
25,1,Black,0,1,75151.8,9000.0
18,0,White,0,0,0.0,12000.0
18,0,White,1,1,62020.6,9000.0
31,1,White,0,0,0.0,0.0
23,1,White,1,1,75598.4,12000.0
31,1,White,1,1,87979.7,9000.0
34,0,Black,0,1,98726.2,12000.0
18,0,White,0,0,0.0,9000.0
25,0,Black,0,1,80737.0,9000.0
45,0,White,0,1,123271.4,0.0
52,1,Other,1,1,152139.1,0.0
23,0,Black,0,0,0.0,0.0
62,0,White,0,1,160557.4,0.0
31,1,Hispanic,1,0,0.0,0.0
34,0,Black,0,1,98551.3,9000.0
18,1,White,0,1,63013.5,0.0
18,0,Asian,0,0,0.0,12000.0
18,1,Hispanic,0,0,0.0,0.0
18,1,White,0,1,59861.5,9000.0
34,0,Hispanic,0,0,0.0,5000.0
36,1,Asian,0,1,108945.7,5000.0
20,1,White,1,1,65935.7,0.0
35,0,Black,1,1,106840.4,12000.0
70,0,White,0,1,191945.3,0.0
20,0,White,0,1,62528.5,12000.0
18,1,White,1,0,0.0,0.0
18,1,Hispanic,0,1,60901.6,0.0
31,0,White,1,0,0.0,12000.0
18,0,Asian,1,0,0.0,0.0
24,0,Asian,0,0,0.0,0.0
66,0,White,0,1,218539.6,12000.0
18,1,White,1,0,0.0,0.0
33,1,Black,1,0,0.0,1000.0
19,0,Other,0,1,71656.5,0.0
25,1,Black,1,1,84491.2,0.0
18,0,Hispanic,0,1,59878.2,0.0
18,0,Hispanic,0,0,0.0,0.0
18,1,Hispanic,0,0,0.0,0.0
18,1,White,0,0,0.0,12000.0
45,0,Black,0,1,121330.6,0.0
18,0,Hispanic,0,0,0.0,1000.0
23,1,Other,0,1,74732.4,0.0
67,1,White,0,0,0.0,9000.0
18,1,Asian,0,1,59428.1,12000.0
21,1,Other,0,0,0.0,12000.0
19,1,White,0,0,0.0,0.0
35,1,Asian,0,1,96761.5,12000.0
64,1,White,1,1,228796.9,0.0
30,0,Asian,0,1,81308.7,1000.0
18,1,White,0,0,0.0,12000.0
70,0,Asian,1,0,0.0,9000.0
35,1,Other,0,0,0.0,0.0
29,1,Hispanic,1,0,0.0,0.0
25,1,Hispanic,1,0,0.0,9000.0
32,1,Asian,0,1,98070.3,0.0
28,0,Hispanic,1,0,0.0,0.0
18,0,Black,0,1,55325.2,12000.0
18,0,Other,0,0,0.0,0.0
22,1,White,0,1,65665.5,12000.0
18,0,Hispanic,0,1,61549.8,9000.0
37,0,White,1,1,100490.3,12000.0
32,1,White,0,1,96902.0,9000.0
18,1,Asian,1,0,0.0,12000.0
35,1,Black,1,1,100226.1,0.0
21,1,White,0,0,0.0,0.0
35,1,White,1,1,95844.6,9000.0
35,1,White,1,1,104116.6,9000.0
18,0,Asian,1,0,0.0,9000.0
49,0,Hispanic,0,1,141593.0,9000.0
51,1,White,1,1,139174.2,0.0
31,1,White,0,1,101241.8,0.0
47,1,Asian,0,1,131158.9,5000.0
18,0,White,0,1,63918.4,9000.0
23,1,White,0,1,77496.3,0.0
70,1,Other,0,0,0.0,0.0
18,1,Black,1,0,0.0,0.0
20,0,Hispanic,0,0,0.0,12000.0
58,0,Hispanic,0,1,158343.6,0.0
18,0,Other,0,0,0.0,0.0
61,0,Black,0,1,156240.6,0.0
18,1,Asian,0,0,0.0,0.0
52,0,Black,0,1,137560.7,1000.0
59,1,Black,1,1,153373.1,9000.0
18,1,Hispanic,1,0,0.0,0.0
41,0,Asian,0,1,116477.3,9000.0
34,1,Black,0,1,101389.6,9000.0
41,0,White,0,1,117812.7,5000.0
21,1,Hispanic,0,0,0.0,9000.0
70,0,Black,0,1,184778.9,0.0
30,1,Asian,1,1,88700.5,12000.0
30,1,Asian,0,0,0.0,9000.0
18,0,Other,1,1,66873.8,0.0
20,1,Hispanic,1,0,0.0,12000.0
32,1,Black,1,0,0.0,5000.0
25,1,White,1,1,75293.7,0.0
21,1,Black,1,0,0.0,12000.0
18,0,Asian,1,1,59036.9,12000.0
39,0,Asian,0,0,0.0,0.0
19,0,White,0,0,0.0,0.0
30,0,Asian,1,1,95341.9,12000.0
34,0,White,0,1,96487.8,9000.0
18,1,Asian,0,0,0.0,0.0
55,1,Black,0,1,143753.6,0.0
28,1,White,0,1,93272.1,5000.0
55,0,White,1,1,149424.2,0.0
18,0,White,0,1,61631.8,12000.0
61,1,Black,0,1,165215.9,9000.0
18,0,Other,0,1,55396.5,0.0
28,0,Black,0,0,0.0,0.0
18,0,White,0,0,0.0,12000.0
18,0,Asian,1,0,0.0,9000.0
18,0,White,0,0,0.0,9000.0
18,0,White,1,0,0.0,0.0
37,1,Asian,0,1,105000.4,12000.0
56,1,Other,1,1,150739.3,12000.0
49,1,White,0,1,131537.4,12000.0
18,1,Other,0,0,0.0,0.0
24,0,Asian,0,0,0.0,12000.0
18,1,White,0,0,0.0,0.0
35,0,White,1,1,149960.2,0.0
20,0,Black,0,0,0.0,0.0
27,1,White,0,1,89919.0,9000.0
39,1,White,1,1,112825.0,0.0
23,0,Asian,0,0,0.0,12000.0
31,1,Hispanic,0,0,0.0,12000.0
18,0,White,1,0,0.0,0.0
18,1,Other,1,0,0.0,0.0
18,1,White,0,0,0.0,5000.0
40,0,Black,0,0,0.0,12000.0
